name,LowerSens,UpperSens,MeanSens,LowerSpec,UpperSpec,MeanSpec,Algs
optimisticCATT_wb+CTC+CATT_4_Dilution,0.428584928237757,0.769992918232317,0.584391490998682,0.999767432940516,0.999830697080458,0.999799058676578,ITM
optimisticCATT_wb+CTC+MaECT+CATT_4_Dilution,0.43024649761018,0.769999440540353,0.584859434420695,0.999767400787646,0.999830644050421,0.999799016087214,ITM
optimisticCATT_wb+CTC+MaECT_bc+CATT_4_Dilution,0.430780228469636,0.769999355559141,0.58494462568088,0.999767400787646,0.999830644050421,0.999799016087214,ITM
optimisticCATT_wb+CTC+QBC+CATT_4_Dilution,0.43024649761018,0.769999440540353,0.584859434420695,0.999767400787646,0.999830644050421,0.999799016087214,ITM
optimisticCATT_wb+MaECT+CATT_4_Dilution,0.429622481919891,0.769998410626003,0.584686237546195,0.999767432940516,0.999830697080458,0.999799058676578,ITM
optimisticCATT_wb+MaECT+MaECT_bc+CATT_4_Dilution,0.43087464585471,0.769999855366966,0.584971447616704,0.999767400787646,0.999830644050421,0.999799016087214,ITM
optimisticCATT_wb+MaECT+QBC+CATT_4_Dilution,0.430570214359006,0.769999874439454,0.584927520873171,0.999767400787646,0.999830644050421,0.999799016087214,ITM
optimisticCATT_wb+MaECT_bc+CATT_4_Dilution,0.430598223893302,0.769998169202105,0.584876396609107,0.999767432940516,0.999830697080458,0.999799058676578,ITM
optimisticCATT_wb+MaECT_bc+QBC+CATT_4_Dilution,0.43087464585471,0.769999855366966,0.584971447616704,0.999767400787646,0.999830644050421,0.999799016087214,ITM
optimisticCATT_wb+QBC+CATT_4_Dilution,0.429622481919891,0.769998410626003,0.584686237546195,0.999767432940516,0.999830697080458,0.999799058676578,ITM
optimisticCATT_wb+CTC+CATT_8_Dilution,0.42388895536673,0.765450500761211,0.57939113442263,0.999864207550352,0.999864285404652,0.999864246477502,ITM
optimisticCATT_wb+CTC+MaECT+CATT_8_Dilution,0.42878135407442,0.769640589560136,0.583704352051628,0.999864143461861,0.999864221290468,0.999864182376164,ITM
optimisticCATT_wb+CTC+MaECT_bc+CATT_8_Dilution,0.430352894938372,0.76958599556927,0.584489593232459,0.999864143461861,0.999864221290468,0.999864182376164,ITM
optimisticCATT_wb+CTC+QBC+CATT_8_Dilution,0.42878135407442,0.769640589560136,0.583704352051628,0.999864143461861,0.999864221290468,0.999864182376164,ITM
optimisticCATT_wb+MaECT+CATT_8_Dilution,0.426943974541901,0.768978947614022,0.582107928686669,0.999864207550352,0.999864285404652,0.999864246477502,ITM
optimisticCATT_wb+MaECT+MaECT_bc+CATT_8_Dilution,0.430630901683313,0.769907084232876,0.584736821510487,0.999864143461861,0.999864221290468,0.999864182376164,ITM
optimisticCATT_wb+MaECT+QBC+CATT_8_Dilution,0.429734520057073,0.769919336861508,0.58433193152662,0.999864143461861,0.999864221290468,0.999864182376164,ITM
optimisticCATT_wb+MaECT_bc+CATT_8_Dilution,0.429816992574721,0.768823851049063,0.583860699179597,0.999864207550352,0.999864285404652,0.999864246477502,ITM
optimisticCATT_wb+MaECT_bc+QBC+CATT_8_Dilution,0.430630901683313,0.769907084232876,0.584736821510487,0.999864143461861,0.999864221290468,0.999864182376164,ITM
optimisticCATT_wb+QBC+CATT_8_Dilution,0.426943974541901,0.768978947614022,0.582107928686669,0.999864207550352,0.999864285404652,0.999864246477502,ITM
optimisticCATT_wb+CTC+CATT_16_Dilution ,0.415972886812712,0.762210055548677,0.574284950194176,0.999906999044497,0.999971636323154,0.99993931121796,ITM
optimisticCATT_wb+CTC+MaECT+CATT_16_Dilution ,0.426311540685566,0.769384594388345,0.582524823494855,0.999906920834813,0.999971536783167,0.999939222345258,ITM
